Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,19/02/2022,Emelec,Macará,4,0,H
EC1,19/02/2022,Mushuc Runa,Universidad Católica (Quito),1,2,A
EC1,19/02/2022,Liga de Quito,Gualaceo,1,0,H
EC1,20/02/2022,Delfín,Barcelona SC,0,1,A
EC1,20/02/2022,Orense,Aucas,1,1,D
EC1,20/02/2022,Guayaquil City FC,Deportivo Cuenca,2,0,H
EC1,21/02/2022,Cumbayá,Independiente del Valle,0,1,A
EC1,22/02/2022,Técnico Universitario,9 de Octubre,2,1,H
EC1,26/02/2022,Deportivo Cuenca,Liga de Quito,2,0,H
EC1,26/02/2022,Aucas,Delfín,3,0,H
EC1,26/02/2022,Universidad Católica (Quito),Guayaquil City FC,1,1,D
EC1,27/02/2022,Barcelona SC,Técnico Universitario,1,0,H
EC1,27/02/2022,Gualaceo,Cumbayá,0,1,A
EC1,27/02/2022,9 de Octubre,Mushuc Runa,2,0,H
EC1,28/02/2022,Independiente del Valle,Emelec,0,1,A
EC1,01/03/2022,Macará,Orense,1,0,H
EC1,05/03/2022,Emelec,Guayaquil City FC,2,2,D
EC1,05/03/2022,Técnico Universitario,Mushuc Runa,1,3,A
EC1,05/03/2022,Liga de Quito,Universidad Católica (Quito),2,1,H
EC1,06/03/2022,9 de Octubre,Barcelona SC,1,3,A
EC1,06/03/2022,Cumbayá,Orense,1,1,D
EC1,06/03/2022,Delfín,Macará,1,0,H
EC1,07/03/2022,Independiente del Valle,Aucas,1,0,H
EC1,08/03/2022,Deportivo Cuenca,Gualaceo,2,1,H
EC1,12/03/2022,Aucas,Deportivo Cuenca,0,0,D
EC1,12/03/2022,Mushuc Runa,Cumbayá,4,2,H
EC1,12/03/2022,Técnico Universitario,Liga de Quito,1,2,A
EC1,13/03/2022,Barcelona SC,Independiente del Valle,2,0,H
EC1,13/03/2022,Orense,9 de Octubre,2,1,H
EC1,13/03/2022,Universidad Católica (Quito),Macará,2,2,D
EC1,14/03/2022,Gualaceo,Emelec,2,1,H
EC1,15/03/2022,Guayaquil City FC,Delfín,1,1,D
EC1,19/03/2022,Independiente del Valle,Orense,1,1,D
EC1,19/03/2022,Cumbayá,Técnico Universitario,2,0,H
EC1,19/03/2022,Liga de Quito,Aucas,4,4,D
EC1,20/03/2022,Mushuc Runa,Barcelona SC,1,1,D
EC1,20/03/2022,9 de Octubre,Gualaceo,1,1,D
EC1,20/03/2022,Macará,Guayaquil City FC,2,0,H
EC1,21/03/2022,Emelec,Delfín,1,2,A
EC1,22/03/2022,Deportivo Cuenca,Universidad Católica (Quito),0,2,A
EC1,02/04/2022,Universidad Católica (Quito),Barcelona SC,1,2,A
EC1,02/04/2022,Emelec,Liga de Quito,2,0,H
EC1,02/04/2022,Gualaceo,Independiente del Valle,1,3,A
EC1,03/04/2022,Aucas,9 de Octubre,1,1,D
EC1,03/04/2022,Orense,Mushuc Runa,0,0,D
EC1,03/04/2022,Guayaquil City FC,Técnico Universitario,0,1,A
EC1,04/04/2022,Delfín,Deportivo Cuenca,0,0,D
EC1,05/04/2022,Macará,Cumbayá,0,0,D
EC1,09/04/2022,Técnico Universitario,Gualaceo,1,1,D
EC1,09/04/2022,Mushuc Runa,Delfín,1,2,A
EC1,09/04/2022,9 de Octubre,Universidad Católica (Quito),0,4,A
EC1,10/04/2022,Cumbayá,Liga de Quito,0,2,A
EC1,10/04/2022,Independiente del Valle,Guayaquil City FC,0,0,D
EC1,10/04/2022,Deportivo Cuenca,Emelec,2,2,D
EC1,10/04/2022,Barcelona SC,Orense,2,0,H
EC1,12/04/2022,Aucas,Macará,2,0,H
EC1,16/04/2022,Gualaceo,Mushuc Runa,3,2,H
EC1,16/04/2022,Orense,Técnico Universitario,0,0,D
EC1,16/04/2022,Delfín,Cumbayá,1,1,D
EC1,16/04/2022,Guayaquil City FC,Aucas,4,0,H
EC1,17/04/2022,Universidad Católica (Quito),Independiente del Valle,3,1,H
EC1,17/04/2022,Macará,Deportivo Cuenca,0,1,A
EC1,17/04/2022,Emelec,9 de Octubre,2,1,H
EC1,17/04/2022,Liga de Quito,Barcelona SC,2,0,H
