Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,14/02/2020,Independiente del Valle,Mushuc Runa,2,1,H
EC1,15/02/2020,Deportivo Cuenca,Liga de Quito,1,2,A
EC1,15/02/2020,Aucas,Delfín,1,2,A
EC1,15/02/2020,Orense,Emelec,2,2,D
EC1,15/02/2020,Macará,Universidad Católica (Quito),1,1,D
EC1,16/02/2020,El Nacional,Liga de Portoviejo,2,1,H
EC1,16/02/2020,Guayaquil City FC,Olmedo,4,1,H
EC1,16/02/2020,Barcelona SC,Técnico Universitario,0,0,D
EC1,22/02/2020,Liga de Portoviejo,Deportivo Cuenca,2,4,A
EC1,22/02/2020,Olmedo,Macará,1,2,A
EC1,22/02/2020,Delfín,Barcelona SC,1,2,A
EC1,22/02/2020,Liga de Quito,Independiente del Valle,2,3,A
EC1,23/02/2020,Universidad Católica (Quito),Orense,4,0,H
EC1,23/02/2020,Mushuc Runa,El Nacional,1,1,D
EC1,23/02/2020,Emelec,Guayaquil City FC,1,2,A
EC1,25/02/2020,Técnico Universitario,Aucas,2,0,H
EC1,28/02/2020,Delfín,Técnico Universitario,0,2,A
EC1,29/02/2020,El Nacional,Liga de Quito,0,3,A
EC1,29/02/2020,Orense,Guayaquil City FC,1,0,H
EC1,01/03/2020,Barcelona SC,Liga de Portoviejo,1,1,D
EC1,01/03/2020,Independiente del Valle,Olmedo,1,2,A
EC1,01/03/2020,Aucas,Mushuc Runa,3,0,H
EC1,01/03/2020,Macará,Emelec,1,0,H
EC1,03/03/2020,Deportivo Cuenca,Universidad Católica (Quito),1,2,A
EC1,07/03/2020,Técnico Universitario,Mushuc Runa,1,1,D
EC1,07/03/2020,Liga de Portoviejo,Delfín,2,1,H
EC1,07/03/2020,Independiente del Valle,Universidad Católica (Quito),2,2,D
EC1,07/03/2020,Liga de Quito,Barcelona SC,2,1,H
EC1,08/03/2020,Olmedo,Orense,2,2,D
EC1,08/03/2020,Guayaquil City FC,Macará,1,1,D
EC1,08/03/2020,Emelec,Aucas,4,0,H
EC1,10/03/2020,El Nacional,Deportivo Cuenca,1,1,D
EC1,14/03/2020,Técnico Universitario,Liga de Portoviejo,3,1,H
EC1,14/03/2020,Mushuc Runa,Macará,2,0,H
EC1,14/08/2020,Deportivo Cuenca,Guayaquil City FC,1,1,D
EC1,15/08/2020,Barcelona SC,Orense,1,0,H
EC1,15/08/2020,El Nacional,Independiente del Valle,2,4,A
EC1,15/08/2020,Delfín,Emelec,2,0,H
EC1,16/08/2020,Olmedo,Liga de Quito,2,3,A
EC1,16/08/2020,Universidad Católica (Quito),Aucas,3,1,H
EC1,18/08/2020,Independiente del Valle,Macará,4,4,D
EC1,18/08/2020,Orense,Liga de Portoviejo,1,1,D
EC1,18/08/2020,Deportivo Cuenca,Barcelona SC,0,3,A
EC1,19/08/2020,Guayaquil City FC,Delfín,0,0,D
EC1,19/08/2020,Técnico Universitario,Olmedo,1,3,A
EC1,19/08/2020,Aucas,El Nacional,2,0,H
EC1,19/08/2020,Liga de Quito,Universidad Católica (Quito),2,1,H
