Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,31/01/2015,Universidad Católica (Quito),Independiente del Valle,0,1,A
EC1,31/01/2015,Liga de Loja,Barcelona SC,1,1,D
EC1,31/01/2015,Guayaquil City FC,Aucas,2,1,H
EC1,01/02/2015,Liga de Quito,El Nacional,1,0,H
EC1,01/02/2015,Deportivo Quito,Emelec,1,1,D
EC1,01/02/2015,Mushuc Runa,Deportivo Cuenca,2,1,H
EC1,07/02/2015,Deportivo Cuenca,Universidad Católica (Quito),1,2,A
EC1,07/02/2015,Emelec,Mushuc Runa,5,2,H
EC1,08/02/2015,Aucas,Liga de Quito,1,1,D
EC1,08/02/2015,El Nacional,Liga de Loja,0,1,A
EC1,08/02/2015,Independiente del Valle,Deportivo Quito,2,0,H
EC1,08/02/2015,Barcelona SC,Guayaquil City FC,1,1,D
EC1,14/02/2015,Deportivo Quito,Deportivo Cuenca,2,3,A
EC1,14/02/2015,Liga de Loja,Emelec,0,2,A
EC1,14/02/2015,Guayaquil City FC,El Nacional,3,1,H
EC1,15/02/2015,Liga de Quito,Mushuc Runa,2,1,H
EC1,15/02/2015,Universidad Católica (Quito),Aucas,2,2,D
EC1,16/02/2015,Barcelona SC,Independiente del Valle,2,1,H
EC1,21/02/2015,Deportivo Cuenca,Liga de Quito,1,1,D
EC1,21/02/2015,Mushuc Runa,Deportivo Quito,2,2,D
EC1,21/02/2015,El Nacional,Barcelona SC,2,1,H
EC1,21/02/2015,Emelec,Universidad Católica (Quito),1,1,D
EC1,21/02/2015,Independiente del Valle,Guayaquil City FC,3,2,H
EC1,22/02/2015,Aucas,Liga de Loja,1,2,A
EC1,28/02/2015,Liga de Loja,Deportivo Cuenca,1,1,D
EC1,28/02/2015,Liga de Quito,Emelec,2,1,H
EC1,28/02/2015,El Nacional,Independiente del Valle,1,2,A
EC1,28/02/2015,Guayaquil City FC,Mushuc Runa,2,0,H
EC1,01/03/2015,Universidad Católica (Quito),Deportivo Quito,2,1,H
EC1,07/03/2015,Deportivo Cuenca,Guayaquil City FC,1,2,A
EC1,07/03/2015,Mushuc Runa,Universidad Católica (Quito),0,2,A
EC1,07/03/2015,Independiente del Valle,Liga de Loja,2,0,H
EC1,08/03/2015,Deportivo Quito,Liga de Quito,0,0,D
EC1,08/03/2015,Aucas,El Nacional,2,3,A
EC1,08/03/2015,Emelec,Barcelona SC,2,0,H
EC1,14/03/2015,Liga de Loja,Mushuc Runa,1,2,A
EC1,14/03/2015,Guayaquil City FC,Deportivo Quito,2,2,D
EC1,15/03/2015,El Nacional,Emelec,1,1,D
EC1,15/03/2015,Liga de Quito,Universidad Católica (Quito),3,0,H
EC1,15/03/2015,Aucas,Independiente del Valle,0,1,A
EC1,15/03/2015,Barcelona SC,Deportivo Cuenca,2,0,H
EC1,20/03/2015,Universidad Católica (Quito),Guayaquil City FC,4,1,H
EC1,21/03/2015,Deportivo Quito,Liga de Loja,3,1,H
EC1,21/03/2015,Deportivo Cuenca,El Nacional,1,0,H
EC1,21/03/2015,Mushuc Runa,Independiente del Valle,0,1,A
