Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,25/06/2016,Guayaquil City FC,El Nacional,4,2,H
EC1,26/06/2016,Mushuc Runa,Delfín,5,1,H
EC1,26/06/2016,Aucas,Barcelona SC,0,1,A
EC1,26/06/2016,Fuerza Amarilla,Deportivo Cuenca,0,0,D
EC1,26/06/2016,Emelec,Independiente del Valle,1,2,A
EC1,29/06/2016,Mushuc Runa,Independiente del Valle,1,3,A
EC1,30/06/2016,Emelec,Liga de Quito,1,0,H
EC1,02/07/2016,Deportivo Cuenca,Guayaquil City FC,2,3,A
EC1,02/07/2016,Independiente del Valle,Delfín,1,1,D
EC1,03/07/2016,El Nacional,Emelec,3,1,H
EC1,03/07/2016,Liga de Quito,Fuerza Amarilla,2,1,H
EC1,03/07/2016,Mushuc Runa,Aucas,1,4,A
EC1,03/07/2016,Barcelona SC,Universidad Católica (Quito),6,1,H
EC1,08/07/2016,Guayaquil City FC,Liga de Quito,2,2,D
EC1,09/07/2016,Emelec,Deportivo Cuenca,3,0,H
EC1,09/07/2016,Universidad Católica (Quito),Mushuc Runa,1,1,D
EC1,09/07/2016,Delfín,El Nacional,3,1,H
EC1,10/07/2016,Independiente del Valle,Aucas,2,0,H
EC1,10/07/2016,Fuerza Amarilla,Barcelona SC,0,2,A
EC1,13/07/2016,Mushuc Runa,Fuerza Amarilla,0,2,A
EC1,14/07/2016,Liga de Quito,Emelec,1,0,H
EC1,14/07/2016,Aucas,Universidad Católica (Quito),2,3,A
EC1,14/07/2016,Barcelona SC,Guayaquil City FC,2,0,H
EC1,14/07/2016,Deportivo Cuenca,Delfín,1,1,D
EC1,17/07/2016,El Nacional,Deportivo Cuenca,3,3,D
EC1,17/07/2016,Delfín,Barcelona SC,0,2,A
EC1,17/07/2016,Fuerza Amarilla,Universidad Católica (Quito),2,2,D
EC1,17/07/2016,Emelec,Mushuc Runa,4,0,H
EC1,18/07/2016,Independiente del Valle,Liga de Quito,1,1,D
EC1,18/07/2016,Guayaquil City FC,Aucas,3,0,H
EC1,20/07/2016,El Nacional,Independiente del Valle,5,2,H
EC1,22/07/2016,Guayaquil City FC,Emelec,0,1,A
EC1,23/07/2016,Deportivo Cuenca,Independiente del Valle,1,0,H
EC1,24/07/2016,Liga de Quito,Delfín,1,0,H
EC1,24/07/2016,Aucas,Fuerza Amarilla,1,1,D
EC1,24/07/2016,Mushuc Runa,Guayaquil City FC,0,1,A
EC1,24/07/2016,Barcelona SC,El Nacional,3,0,H
EC1,24/07/2016,Universidad Católica (Quito),Emelec,0,0,D
EC1,31/07/2016,El Nacional,Deportivo Cuenca,2,3,A
EC1,31/07/2016,Aucas,Barcelona SC,1,2,A
EC1,31/07/2016,Mushuc Runa,Liga de Quito,3,0,H
EC1,31/07/2016,Guayaquil City FC,Independiente del Valle,3,0,H
EC1,31/07/2016,Fuerza Amarilla,Universidad Católica (Quito),2,0,H
EC1,31/07/2016,Emelec,Delfín,1,0,H
EC1,06/08/2016,Universidad Católica (Quito),Emelec,1,0,H
EC1,06/08/2016,Barcelona SC,Mushuc Runa,3,1,H
EC1,06/08/2016,Deportivo Cuenca,Aucas,1,1,D
EC1,06/08/2016,Delfín,Guayaquil City FC,0,0,D
EC1,06/08/2016,Independiente del Valle,Fuerza Amarilla,0,0,D
EC1,07/08/2016,Liga de Quito,El Nacional,2,2,D
EC1,13/08/2016,Guayaquil City FC,Liga de Quito,0,1,A
EC1,13/08/2016,Mushuc Runa,Deportivo Cuenca,3,2,H
EC1,14/08/2016,El Nacional,Aucas,2,2,D
EC1,14/08/2016,Independiente del Valle,Universidad Católica (Quito),5,0,H
EC1,14/08/2016,Fuerza Amarilla,Delfín,2,3,A
EC1,20/08/2016,Deportivo Cuenca,Guayaquil City FC,3,0,H
EC1,20/08/2016,Delfín,Independiente del Valle,1,0,H
EC1,20/08/2016,Liga de Quito,Emelec,2,1,H
EC1,21/08/2016,Aucas,Mushuc Runa,0,1,A
EC1,21/08/2016,Universidad Católica (Quito),El Nacional,0,0,D
EC1,21/08/2016,Barcelona SC,Fuerza Amarilla,5,1,H
EC1,26/08/2016,Universidad Católica (Quito),Delfín,1,0,H
EC1,26/08/2016,Fuerza Amarilla,Liga de Quito,2,0,H
EC1,27/08/2016,Independiente del Valle,Barcelona SC,2,0,H
EC1,27/08/2016,Emelec,Deportivo Cuenca,2,1,H
EC1,27/08/2016,Guayaquil City FC,Aucas,1,0,H
EC1,27/08/2016,Mushuc Runa,El Nacional,1,1,D
EC1,03/09/2016,Deportivo Cuenca,Fuerza Amarilla,3,2,H
EC1,04/09/2016,El Nacional,Guayaquil City FC,2,1,H
EC1,04/09/2016,Mushuc Runa,Delfín,1,0,H
EC1,04/09/2016,Aucas,Emelec,1,3,A
EC1,04/09/2016,Barcelona SC,Universidad Católica (Quito),3,1,H
EC1,10/09/2016,Emelec,El Nacional,2,2,D
EC1,10/09/2016,Universidad Católica (Quito),Liga de Quito,0,1,A
EC1,10/09/2016,Fuerza Amarilla,Aucas,1,1,D
EC1,10/09/2016,Guayaquil City FC,Mushuc Runa,0,0,D
EC1,10/09/2016,Independiente del Valle,Deportivo Cuenca,0,1,A
EC1,11/09/2016,Delfín,Barcelona SC,0,1,A
EC1,15/09/2016,Liga de Quito,Independiente del Valle,2,1,H
EC1,17/09/2016,Guayaquil City FC,Barcelona SC,0,1,A
EC1,17/09/2016,Deportivo Cuenca,Universidad Católica (Quito),0,1,A
EC1,17/09/2016,Liga de Quito,Delfín,2,1,H
EC1,18/09/2016,Aucas,Independiente del Valle,0,2,A
EC1,18/09/2016,El Nacional,Fuerza Amarilla,0,0,D
EC1,18/09/2016,Mushuc Runa,Emelec,3,0,H
EC1,21/09/2016,Fuerza Amarilla,Mushuc Runa,1,2,A
EC1,21/09/2016,Delfín,Deportivo Cuenca,2,2,D
EC1,21/09/2016,Emelec,Guayaquil City FC,5,0,H
EC1,22/09/2016,Independiente del Valle,El Nacional,0,1,A
EC1,22/09/2016,Universidad Católica (Quito),Aucas,1,1,D
EC1,22/09/2016,Barcelona SC,Liga de Quito,2,0,H
EC1,25/09/2016,El Nacional,Delfín,5,2,H
EC1,25/09/2016,Deportivo Cuenca,Barcelona SC,0,1,A
EC1,25/09/2016,Aucas,Liga de Quito,1,0,H
EC1,25/09/2016,Mushuc Runa,Universidad Católica (Quito),1,1,D
EC1,25/09/2016,Emelec,Independiente del Valle,2,1,H
EC1,25/09/2016,Guayaquil City FC,Fuerza Amarilla,2,1,H
EC1,30/09/2016,Fuerza Amarilla,Emelec,0,2,A
EC1,30/09/2016,Delfín,Aucas,1,1,D
EC1,01/10/2016,Independiente del Valle,Mushuc Runa,1,0,H
EC1,01/10/2016,Universidad Católica (Quito),Guayaquil City FC,2,1,H
EC1,01/10/2016,Liga de Quito,Deportivo Cuenca,1,2,A
EC1,01/10/2016,Barcelona SC,El Nacional,1,0,H
EC1,08/10/2016,Deportivo Cuenca,Liga de Quito,0,0,D
EC1,08/10/2016,Guayaquil City FC,Universidad Católica (Quito),3,0,H
EC1,09/10/2016,Aucas,Delfín,1,1,D
EC1,09/10/2016,Emelec,Fuerza Amarilla,3,1,H
EC1,15/10/2016,Universidad Católica (Quito),Mushuc Runa,6,1,H
