Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,17/02/2018,Barcelona SC,Universidad Católica (Quito),3,2,H
EC1,17/02/2018,El Nacional,Emelec,1,2,A
EC1,17/02/2018,Macará,Independiente del Valle,1,3,A
EC1,18/02/2018,Deportivo Cuenca,Liga de Quito,2,1,H
EC1,18/02/2018,Aucas,Delfín,0,0,D
EC1,20/02/2018,Guayaquil City FC,Técnico Universitario,0,0,D
EC1,24/02/2018,Emelec,Macará,2,0,H
EC1,24/02/2018,Universidad Católica (Quito),Deportivo Cuenca,3,1,H
EC1,24/02/2018,Independiente del Valle,Aucas,1,0,H
EC1,25/02/2018,Técnico Universitario,Barcelona SC,0,1,A
EC1,25/02/2018,Delfín,El Nacional,1,3,A
EC1,27/02/2018,Liga de Quito,Guayaquil City FC,2,1,H
EC1,03/03/2018,Barcelona SC,Independiente del Valle,0,0,D
EC1,03/03/2018,Aucas,El Nacional,3,0,H
EC1,03/03/2018,Deportivo Cuenca,Técnico Universitario,1,1,D
EC1,04/03/2018,Universidad Católica (Quito),Liga de Quito,1,2,A
EC1,06/03/2018,Guayaquil City FC,Emelec,0,3,A
EC1,06/03/2018,Macará,Delfín,2,1,H
EC1,10/03/2018,Técnico Universitario,Universidad Católica (Quito),0,2,A
EC1,10/03/2018,Independiente del Valle,Guayaquil City FC,1,1,D
EC1,10/03/2018,Emelec,Deportivo Cuenca,4,1,H
EC1,11/03/2018,Delfín,Barcelona SC,0,1,A
EC1,11/03/2018,Liga de Quito,Aucas,1,1,D
EC1,13/03/2018,El Nacional,Macará,1,2,A
EC1,17/03/2018,Deportivo Cuenca,Independiente del Valle,1,2,A
EC1,17/03/2018,Liga de Quito,Técnico Universitario,4,0,H
EC1,17/03/2018,Macará,Aucas,1,1,D
EC1,18/03/2018,Barcelona SC,El Nacional,5,1,H
EC1,19/03/2018,Guayaquil City FC,Delfín,0,1,A
EC1,20/03/2018,Universidad Católica (Quito),Emelec,2,0,H
EC1,24/03/2018,Independiente del Valle,Universidad Católica (Quito),2,1,H
EC1,25/03/2018,Aucas,Barcelona SC,1,1,D
EC1,25/03/2018,Delfín,Deportivo Cuenca,4,2,H
EC1,25/03/2018,El Nacional,Guayaquil City FC,3,1,H
EC1,25/03/2018,Macará,Técnico Universitario,1,1,D
EC1,25/03/2018,Emelec,Liga de Quito,0,1,A
EC1,31/03/2018,Universidad Católica (Quito),Delfín,3,1,H
EC1,01/04/2018,Deportivo Cuenca,El Nacional,0,0,D
EC1,01/04/2018,Liga de Quito,Independiente del Valle,2,1,H
EC1,01/04/2018,Técnico Universitario,Emelec,1,1,D
EC1,01/04/2018,Barcelona SC,Macará,4,1,H
EC1,02/04/2018,Guayaquil City FC,Aucas,2,2,D
EC1,07/04/2018,El Nacional,Universidad Católica (Quito),0,0,D
EC1,07/04/2018,Independiente del Valle,Técnico Universitario,3,0,H
EC1,08/04/2018,Aucas,Deportivo Cuenca,4,0,H
EC1,08/04/2018,Barcelona SC,Emelec,3,1,H
EC1,10/04/2018,Macará,Guayaquil City FC,2,0,H
EC1,14/04/2018,Técnico Universitario,Delfín,3,2,H
EC1,14/04/2018,Universidad Católica (Quito),Aucas,2,0,H
EC1,14/04/2018,Liga de Quito,El Nacional,1,0,H
EC1,15/04/2018,Deportivo Cuenca,Macará,1,1,D
EC1,15/04/2018,Emelec,Independiente del Valle,2,1,H
EC1,17/04/2018,Guayaquil City FC,Barcelona SC,0,1,A
EC1,19/04/2018,Delfín,Liga de Quito,2,1,H
EC1,21/04/2018,Aucas,Técnico Universitario,1,1,D
EC1,21/04/2018,Guayaquil City FC,Universidad Católica (Quito),1,1,D
EC1,21/04/2018,El Nacional,Independiente del Valle,1,2,A
EC1,22/04/2018,Macará,Liga de Quito,0,1,A
EC1,22/04/2018,Delfín,Emelec,3,1,H
EC1,22/04/2018,Barcelona SC,Deportivo Cuenca,2,0,H
EC1,28/04/2018,Deportivo Cuenca,Guayaquil City FC,1,1,D
EC1,28/04/2018,Universidad Católica (Quito),Macará,3,1,H
EC1,28/04/2018,Independiente del Valle,Delfín,0,1,A
EC1,29/04/2018,Liga de Quito,Barcelona SC,2,1,H
EC1,29/04/2018,Técnico Universitario,El Nacional,2,2,D
EC1,01/05/2018,Emelec,Aucas,1,0,H
EC1,05/05/2018,Barcelona SC,Liga de Quito,0,1,A
EC1,05/05/2018,Macará,Universidad Católica (Quito),1,2,A
EC1,05/05/2018,Guayaquil City FC,Deportivo Cuenca,1,0,H
EC1,06/05/2018,Delfín,Independiente del Valle,2,1,H
EC1,06/05/2018,Aucas,Emelec,2,0,H
EC1,08/05/2018,El Nacional,Técnico Universitario,3,2,H
