Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,02/03/2024,Delfín,Independiente del Valle,0,1,A
EC1,02/03/2024,Mushuc Runa,Libertad (Ecuador),2,1,H
EC1,02/03/2024,Aucas,Orense,2,0,H
EC1,02/03/2024,Deportivo Cuenca,Emelec,1,2,A
EC1,03/03/2024,Universidad Católica (Quito),El Nacional,3,0,H
EC1,03/03/2024,Técnico Universitario,Cumbayá,1,0,H
EC1,03/03/2024,Barcelona SC,Imbabura,2,0,H
EC1,05/03/2024,Liga de Quito,Macará,2,1,H
EC1,09/03/2024,Emelec,Mushuc Runa,0,0,D
EC1,09/03/2024,Macará,El Nacional,1,0,H
EC1,09/03/2024,Imbabura,Delfín,3,0,H
EC1,09/03/2024,Independiente del Valle,Barcelona SC,3,1,H
EC1,10/03/2024,Aucas,Técnico Universitario,3,1,H
EC1,10/03/2024,Orense,Deportivo Cuenca,1,1,D
EC1,10/03/2024,Cumbayá,Liga de Quito,1,3,A
EC1,12/03/2024,Libertad (Ecuador),Universidad Católica (Quito),0,1,A
EC1,15/03/2024,Macará,Libertad (Ecuador),3,0,H
EC1,16/03/2024,Independiente del Valle,Cumbayá,3,0,H
EC1,16/03/2024,Mushuc Runa,Imbabura,3,0,H
EC1,16/03/2024,Liga de Quito,Aucas,1,2,A
EC1,16/03/2024,Barcelona SC,Orense,0,0,D
EC1,17/03/2024,Universidad Católica (Quito),Deportivo Cuenca,3,3,D
EC1,17/03/2024,Delfín,Técnico Universitario,2,0,H
EC1,17/03/2024,El Nacional,Emelec,0,1,A
EC1,19/03/2024,Cumbayá,Mushuc Runa,2,1,H
EC1,20/03/2024,Orense,Imbabura,1,2,A
EC1,20/03/2024,Deportivo Cuenca,Macará,1,1,D
EC1,21/03/2024,Aucas,El Nacional,3,4,A
EC1,21/03/2024,Técnico Universitario,Independiente del Valle,1,1,D
EC1,22/03/2024,Emelec,Delfín,2,0,H
EC1,23/03/2024,Imbabura,Cumbayá,0,0,D
EC1,24/03/2024,El Nacional,Deportivo Cuenca,2,1,H
EC1,24/03/2024,Técnico Universitario,Macará,1,1,D
EC1,24/03/2024,Independiente del Valle,Aucas,1,1,D
EC1,25/03/2024,Delfín,Libertad (Ecuador),1,1,D
EC1,26/03/2024,Orense,Emelec,1,1,D
EC1,29/03/2024,Liga de Quito,Imbabura,5,0,H
EC1,30/03/2024,Macará,Barcelona SC,1,1,D
EC1,30/03/2024,Mushuc Runa,Aucas,0,2,A
EC1,30/03/2024,Libertad (Ecuador),Técnico Universitario,1,0,H
EC1,30/03/2024,Cumbayá,El Nacional,1,0,H
EC1,31/03/2024,Universidad Católica (Quito),Orense,5,1,H
EC1,31/03/2024,Deportivo Cuenca,Delfín,0,0,D
EC1,31/03/2024,Emelec,Independiente del Valle,0,0,D
EC1,06/04/2024,Orense,Mushuc Runa,2,2,D
EC1,06/04/2024,Aucas,Cumbayá,3,0,H
EC1,06/04/2024,El Nacional,Liga de Quito,1,2,A
EC1,06/04/2024,Barcelona SC,Deportivo Cuenca,4,0,H
EC1,07/04/2024,Independiente del Valle,Libertad (Ecuador),3,0,H
EC1,07/04/2024,Delfín,Universidad Católica (Quito),0,2,A
EC1,07/04/2024,Técnico Universitario,Emelec,1,1,D
EC1,09/04/2024,Imbabura,Macará,0,1,A
EC1,13/04/2024,Deportivo Cuenca,Aucas,3,3,D
EC1,13/04/2024,Mushuc Runa,Técnico Universitario,1,2,A
EC1,13/04/2024,Macará,Orense,0,0,D
EC1,13/04/2024,Emelec,Cumbayá,2,0,H
EC1,14/04/2024,Universidad Católica (Quito),Independiente del Valle,2,2,D
EC1,14/04/2024,El Nacional,Imbabura,2,0,H
EC1,14/04/2024,Libertad (Ecuador),Barcelona SC,0,3,A
EC1,16/04/2024,Liga de Quito,Delfín,2,1,H
