Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,15/02/2025,Manta F.C.,Barcelona SC,2,3,A
EC1,15/02/2025,Aucas,Técnico Universitario,4,1,H
EC1,15/02/2025,Libertad (Ecuador),Independiente del Valle,2,0,H
EC1,16/02/2025,Macará,Orense,1,0,H
EC1,16/02/2025,Liga de Quito,Vinotinto,0,0,D
EC1,16/02/2025,El Nacional,Deportivo Cuenca,0,1,A
EC1,16/02/2025,Emelec,Universidad Católica (Quito),0,4,A
EC1,18/02/2025,Mushuc Runa,Delfín,2,0,H
EC1,22/02/2025,Deportivo Cuenca,Aucas,2,0,H
EC1,22/02/2025,Vinotinto,Macará,1,2,A
EC1,22/02/2025,Delfín,Emelec,2,0,H
EC1,23/02/2025,Independiente del Valle,Liga de Quito,1,1,D
EC1,23/02/2025,Universidad Católica (Quito),El Nacional,1,1,D
EC1,23/02/2025,Orense,Manta F.C.,2,1,H
EC1,23/02/2025,Barcelona SC,Mushuc Runa,1,0,H
EC1,25/02/2025,Técnico Universitario,Libertad (Ecuador),2,2,D
EC1,01/03/2025,Emelec,Macará,0,0,D
EC1,01/03/2025,Mushuc Runa,Deportivo Cuenca,3,1,H
EC1,01/03/2025,Liga de Quito,Orense,4,0,H
EC1,02/03/2025,Libertad (Ecuador),Barcelona SC,1,4,A
EC1,02/03/2025,Independiente del Valle,Universidad Católica (Quito),1,1,D
EC1,02/03/2025,Aucas,Vinotinto,2,2,D
EC1,02/03/2025,El Nacional,Técnico Universitario,0,0,D
EC1,04/03/2025,Manta F.C.,Delfín,2,2,D
EC1,08/03/2025,Deportivo Cuenca,Libertad (Ecuador),0,1,A
EC1,08/03/2025,Liga de Quito,Delfín,3,0,H
EC1,08/03/2025,Manta F.C.,El Nacional,4,3,H
EC1,09/03/2025,Barcelona SC,Independiente del Valle,0,4,A
EC1,09/03/2025,Universidad Católica (Quito),Mushuc Runa,1,1,D
EC1,09/03/2025,Macará,Aucas,1,1,D
EC1,09/03/2025,Vinotinto,Emelec,2,1,H
EC1,11/03/2025,Orense,Técnico Universitario,2,1,H
EC1,15/03/2025,Mushuc Runa,Vinotinto,1,2,A
EC1,15/03/2025,Libertad (Ecuador),Orense,4,1,H
EC1,15/03/2025,Universidad Católica (Quito),Manta F.C.,3,0,H
EC1,16/03/2025,Delfín,Deportivo Cuenca,0,0,D
EC1,16/03/2025,Independiente del Valle,Macará,1,1,D
EC1,16/03/2025,El Nacional,Aucas,0,1,A
EC1,16/03/2025,Emelec,Liga de Quito,1,0,H
EC1,18/03/2025,Técnico Universitario,Barcelona SC,0,1,A
EC1,28/03/2025,Aucas,Independiente del Valle,1,2,A
EC1,29/03/2025,Barcelona SC,Delfín,2,0,H
EC1,29/03/2025,Vinotinto,Universidad Católica (Quito),3,2,H
EC1,29/03/2025,Deportivo Cuenca,Liga de Quito,1,2,A
EC1,30/03/2025,Mushuc Runa,Emelec,1,1,D
EC1,30/03/2025,Macará,Técnico Universitario,0,1,A
EC1,30/03/2025,Manta F.C.,Libertad (Ecuador),1,1,D
EC1,30/03/2025,El Nacional,Orense,0,1,A
EC1,05/04/2025,Libertad (Ecuador),El Nacional,1,3,A
EC1,05/04/2025,Delfín,Aucas,1,1,D
EC1,05/04/2025,Orense,Vinotinto,0,0,D
EC1,06/04/2025,Independiente del Valle,Deportivo Cuenca,4,0,H
EC1,06/04/2025,Técnico Universitario,Mushuc Runa,1,1,D
EC1,06/04/2025,Universidad Católica (Quito),Macará,1,0,H
EC1,06/04/2025,Emelec,Manta F.C.,1,1,D
EC1,10/04/2025,Vinotinto,Delfín,5,0,H
EC1,10/04/2025,Macará,Deportivo Cuenca,0,1,A
EC1,11/04/2025,Manta F.C.,Técnico Universitario,2,1,H
EC1,12/04/2025,Emelec,Libertad (Ecuador),1,1,D
EC1,14/04/2025,Mushuc Runa,Liga de Quito,1,0,H
EC1,14/04/2025,El Nacional,Independiente del Valle,1,3,A
EC1,15/04/2025,Orense,Barcelona SC,3,1,H
EC1,16/04/2025,Aucas,Universidad Católica (Quito),2,1,H
EC1,18/04/2025,Liga de Quito,Aucas,3,1,H
EC1,19/04/2025,Barcelona SC,El Nacional,1,0,H
EC1,19/04/2025,Libertad (Ecuador),Mushuc Runa,2,1,H
EC1,19/04/2025,Deportivo Cuenca,Emelec,0,1,A
EC1,20/04/2025,Independiente del Valle,Manta F.C.,2,0,H
EC1,20/04/2025,Técnico Universitario,Vinotinto,1,3,A
EC1,20/04/2025,Universidad Católica (Quito),Orense,2,0,H
EC1,20/04/2025,Delfín,Macará,0,0,D
EC1,26/04/2025,El Nacional,Delfín,3,2,H
EC1,26/04/2025,Vinotinto,Deportivo Cuenca,0,1,A
EC1,26/04/2025,Manta F.C.,Liga de Quito,1,1,D
EC1,27/04/2025,Macará,Barcelona SC,0,1,A
EC1,27/04/2025,Aucas,Mushuc Runa,2,0,H
EC1,27/04/2025,Orense,Independiente del Valle,1,2,A
EC1,27/04/2025,Emelec,Técnico Universitario,0,1,A
EC1,29/04/2025,Libertad (Ecuador),Universidad Católica (Quito),3,1,H
EC1,03/05/2025,Deportivo Cuenca,Manta F.C.,2,0,H
EC1,03/05/2025,Liga de Quito,El Nacional,2,2,D
EC1,03/05/2025,Técnico Universitario,Universidad Católica (Quito),1,1,D
EC1,04/05/2025,Mushuc Runa,Macará,4,3,H
EC1,04/05/2025,Delfín,Orense,0,0,D
EC1,04/05/2025,Barcelona SC,Vinotinto,2,1,H
EC1,04/05/2025,Independiente del Valle,Emelec,1,2,A
EC1,06/05/2025,Aucas,Libertad (Ecuador),2,0,H
EC1,10/05/2025,Orense,Deportivo Cuenca,1,0,H
EC1,10/05/2025,Manta F.C.,Mushuc Runa,2,1,H
EC1,10/05/2025,Macará,Liga de Quito,0,1,A
EC1,11/05/2025,Libertad (Ecuador),Delfín,0,1,A
EC1,11/05/2025,Técnico Universitario,Independiente del Valle,1,2,A
EC1,11/05/2025,Universidad Católica (Quito),Barcelona SC,2,2,D
EC1,11/05/2025,Emelec,Aucas,0,1,A
