Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,29/01/2017,Clan Juvenil,Liga de Quito,0,0,D
EC1,29/01/2017,Deportivo Cuenca,Barcelona SC,1,1,D
EC1,29/01/2017,Macará,Fuerza Amarilla,0,0,D
EC1,29/01/2017,Delfín,Guayaquil City FC,0,0,D
EC1,29/01/2017,Emelec,Universidad Católica (Quito),2,2,D
EC1,04/02/2017,Universidad Católica (Quito),Clan Juvenil,5,1,H
EC1,04/02/2017,Fuerza Amarilla,El Nacional,3,0,H
EC1,04/02/2017,Guayaquil City FC,Emelec,0,0,D
EC1,05/02/2017,Liga de Quito,Delfín,0,2,A
EC1,05/02/2017,Independiente del Valle,Deportivo Cuenca,1,0,H
EC1,06/02/2017,Barcelona SC,Macará,1,1,D
EC1,11/02/2017,El Nacional,Universidad Católica (Quito),1,1,D
EC1,12/02/2017,Deportivo Cuenca,Fuerza Amarilla,1,0,H
EC1,12/02/2017,Clan Juvenil,Macará,0,2,A
EC1,12/02/2017,Delfín,Barcelona SC,1,0,H
EC1,12/02/2017,Emelec,Liga de Quito,2,0,H
EC1,14/02/2017,Guayaquil City FC,Independiente del Valle,0,0,D
EC1,24/02/2017,Fuerza Amarilla,Clan Juvenil,1,1,D
EC1,25/02/2017,Liga de Quito,Guayaquil City FC,4,0,H
EC1,25/02/2017,Universidad Católica (Quito),Delfín,0,0,D
EC1,25/02/2017,Macará,Deportivo Cuenca,2,2,D
EC1,26/02/2017,Barcelona SC,El Nacional,3,2,H
EC1,26/02/2017,Independiente del Valle,Emelec,1,1,D
EC1,02/03/2017,El Nacional,Independiente del Valle,0,2,A
EC1,04/03/2017,Guayaquil City FC,Universidad Católica (Quito),0,2,A
EC1,04/03/2017,Delfín,Fuerza Amarilla,5,1,H
EC1,04/03/2017,Clan Juvenil,Barcelona SC,1,1,D
EC1,04/03/2017,Emelec,Macará,2,0,H
EC1,05/03/2017,El Nacional,Deportivo Cuenca,0,0,D
EC1,05/03/2017,Liga de Quito,Independiente del Valle,1,1,D
EC1,10/03/2017,Fuerza Amarilla,Emelec,0,1,A
EC1,11/03/2017,Barcelona SC,Guayaquil City FC,2,0,H
EC1,11/03/2017,Deportivo Cuenca,Clan Juvenil,2,0,H
EC1,11/03/2017,Universidad Católica (Quito),Liga de Quito,3,0,H
EC1,11/03/2017,Independiente del Valle,Delfín,1,1,D
EC1,12/03/2017,Macará,El Nacional,1,0,H
EC1,17/03/2017,Guayaquil City FC,Fuerza Amarilla,1,1,D
EC1,17/03/2017,Delfín,Macará,1,0,H
EC1,18/03/2017,Universidad Católica (Quito),Independiente del Valle,1,3,A
EC1,18/03/2017,Clan Juvenil,El Nacional,3,4,A
EC1,25/03/2017,Deportivo Cuenca,Delfín,1,1,D
EC1,26/03/2017,Clan Juvenil,Guayaquil City FC,2,1,H
EC1,26/03/2017,Macará,Independiente del Valle,1,1,D
EC1,26/03/2017,Fuerza Amarilla,Liga de Quito,1,1,D
EC1,26/03/2017,Barcelona SC,Universidad Católica (Quito),1,3,A
EC1,31/03/2017,Emelec,Deportivo Cuenca,2,1,H
EC1,06/04/2017,Emelec,El Nacional,0,0,D
EC1,08/04/2017,Independiente del Valle,Barcelona SC,0,2,A
EC1,08/04/2017,Guayaquil City FC,Macará,3,0,H
EC1,09/04/2017,Delfín,El Nacional,3,0,H
EC1,09/04/2017,Emelec,Clan Juvenil,2,0,H
EC1,09/04/2017,Universidad Católica (Quito),Fuerza Amarilla,0,0,D
EC1,11/04/2017,Liga de Quito,Deportivo Cuenca,1,1,D
EC1,15/04/2017,Deportivo Cuenca,Universidad Católica (Quito),2,2,D
EC1,15/04/2017,Clan Juvenil,Delfín,0,1,A
EC1,16/04/2017,El Nacional,Guayaquil City FC,2,2,D
EC1,16/04/2017,Macará,Liga de Quito,1,0,H
EC1,16/04/2017,Fuerza Amarilla,Independiente del Valle,1,2,A
EC1,16/04/2017,Emelec,Barcelona SC,1,0,H
EC1,22/04/2017,Independiente del Valle,Clan Juvenil,4,1,H
EC1,22/04/2017,Guayaquil City FC,Deportivo Cuenca,2,0,H
EC1,22/04/2017,Liga de Quito,El Nacional,2,2,D
EC1,23/04/2017,Universidad Católica (Quito),Macará,1,3,A
EC1,23/04/2017,Delfín,Emelec,3,3,D
EC1,23/04/2017,Barcelona SC,Fuerza Amarilla,2,0,H
EC1,28/04/2017,Fuerza Amarilla,Barcelona SC,0,3,A
EC1,29/04/2017,Deportivo Cuenca,Guayaquil City FC,2,1,H
EC1,30/04/2017,El Nacional,Liga de Quito,1,1,D
EC1,30/04/2017,Clan Juvenil,Independiente del Valle,0,2,A
EC1,30/04/2017,Macará,Universidad Católica (Quito),0,3,A
EC1,30/04/2017,Emelec,Delfín,1,1,D
EC1,05/05/2017,Independiente del Valle,Fuerza Amarilla,2,0,H
EC1,06/05/2017,Universidad Católica (Quito),Deportivo Cuenca,0,1,A
EC1,06/05/2017,Guayaquil City FC,El Nacional,3,1,H
EC1,06/05/2017,Liga de Quito,Macará,2,3,A
EC1,07/05/2017,Delfín,Clan Juvenil,1,0,H
EC1,11/05/2017,Barcelona SC,Liga de Quito,3,1,H
EC1,13/05/2017,Macará,Guayaquil City FC,2,1,H
EC1,14/05/2017,Deportivo Cuenca,Liga de Quito,2,0,H
EC1,14/05/2017,El Nacional,Delfín,0,0,D
EC1,14/05/2017,Fuerza Amarilla,Universidad Católica (Quito),3,1,H
EC1,14/05/2017,Barcelona SC,Independiente del Valle,2,1,H
EC1,20/05/2017,Independiente del Valle,Macará,1,0,H
EC1,20/05/2017,Guayaquil City FC,Clan Juvenil,2,1,H
EC1,20/05/2017,Liga de Quito,Fuerza Amarilla,1,1,D
EC1,21/05/2017,Delfín,Deportivo Cuenca,1,0,H
EC1,21/05/2017,Universidad Católica (Quito),Barcelona SC,1,2,A
EC1,21/05/2017,El Nacional,Emelec,0,2,A
EC1,26/05/2017,Independiente del Valle,Universidad Católica (Quito),1,0,H
EC1,27/05/2017,El Nacional,Clan Juvenil,3,1,H
EC1,27/05/2017,Fuerza Amarilla,Guayaquil City FC,0,2,A
EC1,28/05/2017,Deportivo Cuenca,Emelec,2,2,D
EC1,28/05/2017,Macará,Delfín,1,2,A
EC1,02/06/2017,Delfín,Independiente del Valle,2,1,H
EC1,03/06/2017,Emelec,Fuerza Amarilla,1,0,H
EC1,03/06/2017,Guayaquil City FC,Barcelona SC,0,0,D
EC1,03/06/2017,El Nacional,Macará,2,0,H
EC1,04/06/2017,Clan Juvenil,Deportivo Cuenca,2,0,H
EC1,10/06/2017,Barcelona SC,Clan Juvenil,4,1,H
EC1,10/06/2017,Deportivo Cuenca,El Nacional,3,1,H
EC1,10/06/2017,Independiente del Valle,Liga de Quito,2,1,H
EC1,11/06/2017,Fuerza Amarilla,Delfín,1,1,D
EC1,14/06/2017,Clan Juvenil,Emelec,2,2,D
EC1,16/06/2017,Guayaquil City FC,Liga de Quito,1,1,D
EC1,17/06/2017,El Nacional,Barcelona SC,1,3,A
EC1,17/06/2017,Delfín,Universidad Católica (Quito),3,1,H
EC1,18/06/2017,Deportivo Cuenca,Macará,1,3,A
EC1,18/06/2017,Clan Juvenil,Fuerza Amarilla,1,1,D
EC1,18/06/2017,Emelec,Independiente del Valle,1,1,D
EC1,21/06/2017,Universidad Católica (Quito),Guayaquil City FC,4,0,H
EC1,21/06/2017,Macará,Emelec,4,3,H
EC1,22/06/2017,Liga de Quito,Barcelona SC,1,1,D
EC1,23/06/2017,Fuerza Amarilla,Deportivo Cuenca,0,0,D
EC1,24/06/2017,Universidad Católica (Quito),El Nacional,1,1,D
EC1,24/06/2017,Independiente del Valle,Guayaquil City FC,0,0,D
EC1,25/06/2017,Liga de Quito,Emelec,1,1,D
EC1,25/06/2017,Macará,Clan Juvenil,2,2,D
EC1,25/06/2017,Barcelona SC,Delfín,1,2,A
EC1,29/06/2017,Barcelona SC,Emelec,2,1,H
EC1,01/07/2017,Deportivo Cuenca,Independiente del Valle,2,0,H
EC1,01/07/2017,El Nacional,Fuerza Amarilla,4,2,H
EC1,02/07/2017,Delfín,Liga de Quito,4,1,H
EC1,02/07/2017,Macará,Barcelona SC,2,1,H
EC1,02/07/2017,Emelec,Guayaquil City FC,1,0,H
EC1,03/07/2017,Clan Juvenil,Universidad Católica (Quito),0,1,A
EC1,06/07/2017,Liga de Quito,Universidad Católica (Quito),1,0,H
EC1,08/07/2017,Guayaquil City FC,Delfín,1,0,H
EC1,08/07/2017,Fuerza Amarilla,Macará,1,1,D
EC1,08/07/2017,Independiente del Valle,El Nacional,0,2,A
EC1,08/07/2017,Liga de Quito,Clan Juvenil,5,0,H
EC1,09/07/2017,Universidad Católica (Quito),Emelec,1,1,D
EC1,09/07/2017,Barcelona SC,Deportivo Cuenca,1,0,H
EC1,15/07/2017,Deportivo Cuenca,Guayaquil City FC,3,0,H
EC1,15/07/2017,Universidad Católica (Quito),Independiente del Valle,0,3,A
EC1,16/07/2017,Clan Juvenil,Liga de Quito,0,0,D
EC1,16/07/2017,Macará,Barcelona SC,1,0,H
EC1,16/07/2017,Fuerza Amarilla,Delfín,1,2,A
EC1,16/07/2017,Emelec,El Nacional,2,1,H
EC1,21/07/2017,Delfín,Universidad Católica (Quito),2,0,H
EC1,22/07/2017,El Nacional,Clan Juvenil,4,0,H
EC1,22/07/2017,Independiente del Valle,Macará,1,1,D
EC1,22/07/2017,Liga de Quito,Deportivo Cuenca,2,1,H
EC1,22/07/2017,Barcelona SC,Fuerza Amarilla,2,0,H
EC1,22/07/2017,Guayaquil City FC,Emelec,1,1,D
EC1,29/07/2017,Clan Juvenil,Fuerza Amarilla,1,0,H
EC1,29/07/2017,Guayaquil City FC,Independiente del Valle,1,2,A
EC1,30/07/2017,Deportivo Cuenca,Barcelona SC,1,0,H
EC1,30/07/2017,Universidad Católica (Quito),El Nacional,1,2,A
EC1,30/07/2017,Macará,Delfín,0,0,D
EC1,30/07/2017,Emelec,Liga de Quito,2,1,H
EC1,05/08/2017,Barcelona SC,Universidad Católica (Quito),0,1,A
EC1,05/08/2017,Independiente del Valle,Emelec,2,1,H
EC1,05/08/2017,Delfín,Clan Juvenil,3,0,H
EC1,06/08/2017,Liga de Quito,Guayaquil City FC,1,1,D
EC1,06/08/2017,El Nacional,Deportivo Cuenca,0,1,A
EC1,06/08/2017,Fuerza Amarilla,Macará,2,2,D
EC1,12/08/2017,Universidad Católica (Quito),Macará,0,1,A
EC1,12/08/2017,Guayaquil City FC,El Nacional,2,2,D
EC1,13/08/2017,Liga de Quito,Independiente del Valle,3,1,H
EC1,13/08/2017,Clan Juvenil,Barcelona SC,0,2,A
EC1,13/08/2017,Deportivo Cuenca,Delfín,1,1,D
EC1,15/08/2017,Emelec,Fuerza Amarilla,2,0,H
EC1,19/08/2017,Macará,Clan Juvenil,7,1,H
EC1,19/08/2017,Independiente del Valle,Deportivo Cuenca,2,3,A
EC1,20/08/2017,Delfín,Emelec,2,1,H
EC1,20/08/2017,El Nacional,Liga de Quito,4,2,H
EC1,20/08/2017,Fuerza Amarilla,Universidad Católica (Quito),2,0,H
EC1,20/08/2017,Barcelona SC,Guayaquil City FC,0,0,D
EC1,25/08/2017,Clan Juvenil,Universidad Católica (Quito),6,3,H
EC1,26/08/2017,El Nacional,Independiente del Valle,1,1,D
EC1,26/08/2017,Liga de Quito,Barcelona SC,0,0,D
EC1,26/08/2017,Deportivo Cuenca,Fuerza Amarilla,2,1,H
EC1,26/08/2017,Emelec,Macará,2,1,H
EC1,26/08/2017,Guayaquil City FC,Delfín,0,0,D
EC1,01/09/2017,Clan Juvenil,Guayaquil City FC,4,1,H
EC1,02/09/2017,Macará,Deportivo Cuenca,1,1,D
EC1,02/09/2017,Universidad Católica (Quito),Emelec,3,1,H
EC1,02/09/2017,Fuerza Amarilla,Independiente del Valle,1,2,A
EC1,03/09/2017,Delfín,Liga de Quito,1,0,H
EC1,09/09/2017,Independiente del Valle,Barcelona SC,2,2,D
EC1,09/09/2017,Guayaquil City FC,Fuerza Amarilla,0,2,A
EC1,09/09/2017,Liga de Quito,Macará,2,0,H
EC1,10/09/2017,Deportivo Cuenca,Universidad Católica (Quito),3,1,H
EC1,10/09/2017,El Nacional,Delfín,1,0,H
EC1,10/09/2017,Emelec,Clan Juvenil,5,1,H
EC1,16/09/2017,Universidad Católica (Quito),Guayaquil City FC,0,0,D
EC1,17/09/2017,Delfín,Independiente del Valle,2,0,H
EC1,17/09/2017,Macará,El Nacional,3,2,H
EC1,17/09/2017,Clan Juvenil,Deportivo Cuenca,2,2,D
EC1,23/09/2017,Independiente del Valle,Clan Juvenil,2,1,H
EC1,23/09/2017,Guayaquil City FC,Macará,0,3,A
EC1,24/09/2017,Deportivo Cuenca,Emelec,0,2,A
EC1,24/09/2017,El Nacional,Fuerza Amarilla,6,0,H
EC1,24/09/2017,Liga de Quito,Universidad Católica (Quito),3,0,H
EC1,26/09/2017,Barcelona SC,Delfín,1,1,D
EC1,29/09/2017,Clan Juvenil,Independiente del Valle,2,4,A
EC1,29/09/2017,Delfín,Barcelona SC,1,1,D
EC1,29/09/2017,Fuerza Amarilla,El Nacional,1,0,H
EC1,30/09/2017,Macará,Guayaquil City FC,0,1,A
EC1,30/09/2017,Universidad Católica (Quito),Liga de Quito,2,3,A
EC1,30/09/2017,Emelec,Deportivo Cuenca,1,0,H
EC1,07/10/2017,Fuerza Amarilla,Liga de Quito,1,1,D
EC1,07/10/2017,El Nacional,Macará,1,0,H
EC1,14/10/2017,Barcelona SC,Independiente del Valle,1,1,D
EC1,14/10/2017,Universidad Católica (Quito),Deportivo Cuenca,2,2,D
EC1,14/10/2017,Delfín,El Nacional,2,1,H
EC1,14/10/2017,Fuerza Amarilla,Guayaquil City FC,0,3,A
EC1,15/10/2017,Macará,Liga de Quito,1,1,D
EC1,15/10/2017,Clan Juvenil,Emelec,1,2,A
EC1,18/10/2017,Independiente del Valle,Delfín,2,2,D
EC1,18/10/2017,Guayaquil City FC,Universidad Católica (Quito),2,1,H
EC1,19/10/2017,Liga de Quito,Fuerza Amarilla,3,1,H
EC1,19/10/2017,Barcelona SC,El Nacional,1,2,A
EC1,19/10/2017,Deportivo Cuenca,Clan Juvenil,3,0,H
