Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,09/02/2019,Guayaquil City FC,Macará,1,1,D
EC1,09/02/2019,Fuerza Amarilla,Delfín,0,2,A
EC1,09/02/2019,Liga de Quito,Olmedo,3,2,H
EC1,10/02/2019,Barcelona SC,El Nacional,5,2,H
EC1,10/02/2019,Deportivo Cuenca,Independiente del Valle,3,2,H
EC1,10/02/2019,Aucas,Emelec,0,2,A
EC1,10/02/2019,Técnico Universitario,Universidad Católica (Quito),1,2,A
EC1,12/02/2019,América de Quito,Mushuc Runa,0,1,A
EC1,16/02/2019,El Nacional,Aucas,1,3,A
EC1,16/02/2019,Olmedo,América de Quito,1,0,H
EC1,16/02/2019,Universidad Católica (Quito),Liga de Quito,0,0,D
EC1,17/02/2019,Macará,Barcelona SC,0,0,D
EC1,17/02/2019,Mushuc Runa,Deportivo Cuenca,1,1,D
EC1,17/02/2019,Emelec,Fuerza Amarilla,1,2,A
EC1,17/02/2019,Delfín,Guayaquil City FC,0,1,A
EC1,19/02/2019,Independiente del Valle,Técnico Universitario,1,0,H
EC1,23/02/2019,Deportivo Cuenca,Emelec,1,0,H
EC1,23/02/2019,Fuerza Amarilla,Olmedo,1,4,A
EC1,23/02/2019,América de Quito,Liga de Quito,0,1,A
EC1,24/02/2019,Técnico Universitario,Macará,0,2,A
EC1,24/02/2019,Aucas,Universidad Católica (Quito),3,1,H
EC1,24/02/2019,Barcelona SC,Mushuc Runa,2,0,H
EC1,24/02/2019,El Nacional,Delfín,0,1,A
EC1,26/02/2019,Guayaquil City FC,Independiente del Valle,0,1,A
EC1,02/03/2019,Deportivo Cuenca,América de Quito,2,0,H
EC1,02/03/2019,Delfín,Aucas,4,2,H
EC1,02/03/2019,Liga de Quito,Guayaquil City FC,4,0,H
EC1,03/03/2019,Emelec,Técnico Universitario,1,0,H
EC1,03/03/2019,Mushuc Runa,El Nacional,0,1,A
EC1,03/03/2019,Independiente del Valle,Barcelona SC,3,0,H
EC1,03/03/2019,Olmedo,Macará,0,2,A
EC1,05/03/2019,Universidad Católica (Quito),Fuerza Amarilla,6,0,H
EC1,09/03/2019,Técnico Universitario,Olmedo,0,3,A
EC1,09/03/2019,Aucas,Mushuc Runa,1,1,D
EC1,09/03/2019,Macará,Liga de Quito,3,0,H
EC1,10/03/2019,Guayaquil City FC,Fuerza Amarilla,1,1,D
EC1,10/03/2019,Independiente del Valle,América de Quito,0,0,D
EC1,10/03/2019,Barcelona SC,Universidad Católica (Quito),1,2,A
EC1,10/03/2019,Delfín,Emelec,0,0,D
EC1,12/03/2019,El Nacional,Deportivo Cuenca,1,1,D
EC1,15/03/2019,Mushuc Runa,Independiente del Valle,0,2,A
EC1,16/03/2019,Olmedo,Guayaquil City FC,1,1,D
EC1,16/03/2019,Universidad Católica (Quito),Delfín,2,1,H
EC1,17/03/2019,América de Quito,Macará,0,1,A
EC1,17/03/2019,Liga de Quito,Aucas,0,1,A
EC1,17/03/2019,Fuerza Amarilla,Barcelona SC,0,3,A
EC1,17/03/2019,Emelec,El Nacional,2,1,H
EC1,19/03/2019,Deportivo Cuenca,Técnico Universitario,4,3,H
EC1,30/03/2019,Aucas,Deportivo Cuenca,1,0,H
EC1,30/03/2019,Macará,Universidad Católica (Quito),1,0,H
EC1,30/03/2019,Barcelona SC,Liga de Quito,1,1,D
EC1,31/03/2019,Independiente del Valle,Emelec,1,0,H
EC1,31/03/2019,El Nacional,Olmedo,1,1,D
EC1,31/03/2019,Delfín,Mushuc Runa,1,0,H
EC1,31/03/2019,Técnico Universitario,Fuerza Amarilla,2,1,H
