Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
EC1,25/01/2014,Manta F.C.,Liga de Quito,1,0,H
EC1,25/01/2014,Universidad Católica (Quito),Deportivo Cuenca,1,1,D
EC1,25/01/2014,Independiente del Valle,Deportivo Quito,2,0,H
EC1,25/01/2014,Liga de Loja,El Nacional,2,1,H
EC1,26/01/2014,Olmedo,Barcelona SC,2,1,H
EC1,26/01/2014,Emelec,Mushuc Runa,1,0,H
EC1,29/01/2014,El Nacional,Olmedo,0,3,A
EC1,29/01/2014,Mushuc Runa,Universidad Católica (Quito),1,2,A
EC1,30/01/2014,Barcelona SC,Manta F.C.,1,0,H
EC1,30/01/2014,Liga de Quito,Liga de Loja,2,2,D
EC1,30/01/2014,Deportivo Cuenca,Independiente del Valle,1,1,D
EC1,01/02/2014,Olmedo,Deportivo Quito,0,0,D
EC1,02/02/2014,Universidad Católica (Quito),Independiente del Valle,4,3,H
EC1,02/02/2014,Liga de Quito,El Nacional,1,0,H
EC1,02/02/2014,Manta F.C.,Mushuc Runa,1,1,D
EC1,02/02/2014,Liga de Loja,Barcelona SC,1,1,D
EC1,02/02/2014,Emelec,Deportivo Cuenca,3,0,H
EC1,08/02/2014,El Nacional,Universidad Católica (Quito),2,1,H
EC1,08/02/2014,Mushuc Runa,Liga de Loja,0,1,A
EC1,09/02/2014,Independiente del Valle,Emelec,0,0,D
EC1,09/02/2014,Deportivo Quito,Manta F.C.,1,1,D
EC1,09/02/2014,Barcelona SC,Liga de Quito,0,0,D
EC1,09/02/2014,Deportivo Cuenca,Olmedo,1,1,D
EC1,15/02/2014,Olmedo,Independiente del Valle,0,1,A
EC1,15/02/2014,Liga de Loja,Deportivo Quito,1,0,H
EC1,15/02/2014,Manta F.C.,Deportivo Cuenca,2,0,H
EC1,16/02/2014,El Nacional,Barcelona SC,1,0,H
EC1,16/02/2014,Liga de Quito,Mushuc Runa,0,0,D
EC1,16/02/2014,Emelec,Universidad Católica (Quito),2,1,H
EC1,22/02/2014,Deportivo Quito,Liga de Quito,1,1,D
EC1,22/02/2014,Deportivo Cuenca,Liga de Loja,0,1,A
EC1,22/02/2014,Universidad Católica (Quito),Olmedo,1,2,A
EC1,22/02/2014,Independiente del Valle,Manta F.C.,1,0,H
EC1,22/02/2014,Mushuc Runa,El Nacional,0,1,A
EC1,22/02/2014,Barcelona SC,Emelec,1,2,A
EC1,01/03/2014,El Nacional,Deportivo Quito,1,1,D
EC1,01/03/2014,Barcelona SC,Mushuc Runa,3,0,H
EC1,01/03/2014,Liga de Quito,Deportivo Cuenca,3,0,H
EC1,01/03/2014,Manta F.C.,Universidad Católica (Quito),0,1,A
EC1,06/03/2014,Liga de Loja,Independiente del Valle,1,2,A
EC1,08/03/2014,Emelec,Manta F.C.,4,1,H
EC1,08/03/2014,Deportivo Cuenca,El Nacional,1,2,A
EC1,08/03/2014,Universidad Católica (Quito),Liga de Loja,1,1,D
EC1,08/03/2014,Mushuc Runa,Olmedo,1,0,H
EC1,09/03/2014,Independiente del Valle,Liga de Quito,0,0,D
EC1,09/03/2014,Deportivo Quito,Barcelona SC,2,1,H
EC1,15/03/2014,Liga de Loja,Emelec,1,2,A
EC1,15/03/2014,Manta F.C.,Olmedo,1,1,D
EC1,15/03/2014,El Nacional,Independiente del Valle,2,4,A
EC1,15/03/2014,Liga de Quito,Universidad Católica (Quito),0,2,A
EC1,16/03/2014,Mushuc Runa,Deportivo Quito,1,0,H
EC1,16/03/2014,Barcelona SC,Deportivo Cuenca,2,1,H
EC1,22/03/2014,Deportivo Cuenca,Mushuc Runa,3,2,H
EC1,22/03/2014,Universidad Católica (Quito),Deportivo Quito,1,1,D
EC1,22/03/2014,Manta F.C.,El Nacional,1,0,H
EC1,23/03/2014,Independiente del Valle,Barcelona SC,0,0,D
EC1,23/03/2014,Olmedo,Liga de Loja,0,1,A
EC1,23/03/2014,Emelec,Liga de Quito,3,0,H
EC1,27/03/2014,Deportivo Quito,Emelec,0,0,D
EC1,29/03/2014,Liga de Loja,Manta F.C.,1,0,H
EC1,29/03/2014,Deportivo Quito,Deportivo Cuenca,3,1,H
EC1,30/03/2014,El Nacional,Emelec,2,0,H
EC1,30/03/2014,Liga de Quito,Olmedo,2,2,D
EC1,30/03/2014,Mushuc Runa,Independiente del Valle,0,1,A
EC1,30/03/2014,Barcelona SC,Universidad Católica (Quito),2,1,H
EC1,04/04/2014,Independiente del Valle,Mushuc Runa,2,1,H
EC1,05/04/2014,Deportivo Cuenca,Deportivo Quito,0,1,A
EC1,05/04/2014,Manta F.C.,Liga de Loja,4,2,H
EC1,06/04/2014,Emelec,El Nacional,5,1,H
EC1,06/04/2014,Olmedo,Liga de Quito,1,0,H
EC1,06/04/2014,Universidad Católica (Quito),Barcelona SC,2,0,H
EC1,12/04/2014,Liga de Loja,Olmedo,1,0,H
EC1,12/04/2014,Deportivo Quito,Universidad Católica (Quito),0,1,A
EC1,12/04/2014,Mushuc Runa,Deportivo Cuenca,1,1,D
